Column1,program,NCS직무분류,apply_option,직무코드,업종분류,관련자격증,훈련기간,훈련시간,평균연령대,주관부처,훈련유형,주야구분/주말여부
1626,"[영상촬영드론조종]초경량비행장치 조종, 촬영, 방제, 운용 양성과정모집중",소형무인기운용·조종(09040105),소형무인기운용·조종,9040105,12,-,2024-02-05~2024-05-09(1회차),"67일,총378시간",-,광주고용센터,국가기간전략산업직종훈련,-
1627,카페 디저트실무과정모집중,제과(21020101),제과,21020101,10,-,2024-02-02~2024-04-05(1회차),"8일,총24시간",-,김해고용,근로자직업능력개발훈련,주간/주중
1628,애견미용사 기본과정모집중,애완동물미용(24020106),애완동물미용,24020106,3,-,2024-04-08~2024-10-04(1회차),"115일,총460시간",-,원주고용센터,근로자직업능력개발훈련,주간/주중
1629,애견미용사 3급 자격증 취득과정모집중,애완동물미용(24020106),애완동물미용,24020106,3,애견미용사,2024-03-29~2024-09-12(1회차),"110일,총440시간",-,수원고용센터,실업자계좌제,주간/주중
1630,공조냉동산업기사 실기(작업형+필답형)모집중,냉동공조설치(15050202),냉동공조설치,15050202,12,"공조냉동기계산업기사,공조냉동기계기능사",2024-03-20~2024-04-25(1회차),"14일,총42시간",-,서울남부고용센터,근로자직업능력개발훈련,야간/주중
1631,"네일아트 실무과정(네일드릴,핸드페인팅)모집중",네일미용(12010104),네일미용,12010104,10,-,2024-01-30~2024-03-21(1회차),"35일,총140시간",-,성남고용센터,실업자계좌제,주간/주중
1632,[주말(일)] 영상편집 기초 및 활용(프리미어+애프터이펙트)모집마감,디지털비지니스지원서비스(20020318),디지털비지니스지원서비스,20020318,18,-,2024-01-14~2024-03-31(1회차),"10일,총60시간",34,고양고용센터,근로자직업능력개발훈련,주간/주말
1633,전기(산업)기사 취득 실기특강 과정모집중,내선공사(19010701),내선공사,19010701,13,"전기기사,전기산업기사",2024-03-12~2024-04-23(1회차),"20일,총96시간",-,서울북부고용센터,근로자직업능력개발훈련,"주야혼합/주말,주중혼합"
1634,요양보호사 자격 취득과정모집마감,요양지원(06010108),요양지원,6010108,5,요양보호사,2024-01-15~2024-03-13(1회차),"40일,총320시간",55,부천고용,실업자계좌제,주야혼합/주중
1635,바리스타 2급자격증모집마감,커피관리(13010203),커피관리,13010203,10,NCS활용바리스타,2024-01-03~2024-02-05(1회차),"10일,총35시간",41,고양고용센터,근로자직업능력개발훈련,야간/주중
1636,"이용사 실무과정(남성컷,남성펌,스타일링)모집중",이용(12010105),이용,12010105,10,-,2024-03-12~2024-05-08(1회차),"40일,총160시간",-,성남고용센터,실업자계좌제,주간/주중
1637,한식조리기능사 취득(이론+실기)모집중,한식조리(13010101),한식조리,13010101,10,한식조리기능사,2024-03-04~2024-04-22(1회차),"14일,총80시간",-,수원고용센터,실업자계좌제,주간/주중
1638,"전산세무회계 자격증 취득과정(전산회계1급, 전산세무2급)모집중",세무(02030202),세무,2030202,3,"전산세무2급,전산회계1급",2024-01-31~2024-03-07(1회차),"24일,총190시간",-,서울강남고용센터,실업자계좌제,주간/주중
1639,의상제작실무모집중,제직의류생산(18020201),제직의류생산,18020201,8,-,2024-02-19~2024-05-17(1회차),"50일,총200시간",-,서울동부고용센터,실업자계좌제,주간/주중
1640,요양보호사자격취득과정모집중,요양지원(06010108),요양지원,6010108,5,요양보호사,2024-02-06~2024-04-04(1회차),"40일,총320시간",-,의정부고용센터,실업자계좌제,주간/주중
1641,미용사(피부)국가자격증과정모집중,피부미용(12010102),피부미용,12010102,10,미용사(피부),2024-01-30~2024-06-07(1회차),"68일,총272시간",27,진주고용센터,실업자계좌제,주간/주중
1642,쇼핑몰 상세페이지 제작+포트폴리오모집마감,전자상거래(10030102),전자상거래,10030102,4,-,2024-01-16~2024-02-01(1회차),"8일,총39시간",-,대구서부고용센터,근로자직업능력개발훈련,주간/주중
1643,커피 바리스타 입문(바리스타 2급 자격증 취득과정)모집마감,커피관리(13010203),커피관리,13010203,10,바리스타2급,2024-01-24~2024-02-14(1회차),"12일,총48시간",33,서울남부고용센터,근로자직업능력개발훈련,주간/주중
1644,(이용사)국가자격증취득과정=바버모집중,이용(12010105),이용,12010105,10,이용사,2024-03-14~2024-06-04(1회차),"65일,총260시간",-,통영고용,실업자계좌제,-
1645,실내건축(산업)기사 자격증 실기 작업형모집마감,실내건축설계(14030104),실내건축설계,14030104,1,"실내건축산업기사,실내건축기사",2024-01-02~2024-02-15(1회차),"30일,총190시간",26,서울강남고용센터,실업자계좌제,주간/주중
1646,의상제작 및 패턴모집중,제직의류생산(18020201),제직의류생산,18020201,8,-,2024-02-22~2024-05-28(1회차),"28일,총85시간",-,대구고용센터,근로자직업능력개발훈련,야간/주중
1647,(게임콘텐츠제작) 게임그래픽전문가 양성 A모집중,게임콘텐츠제작(08030205),게임콘텐츠제작,8030205,2,-,2024-02-26~2024-08-01(1회차),"109일,총870시간",26,서울관악고용센터,국가기간전략산업직종훈련,주간/주중
1648,요양보호사자격취득과정(야간)모집중,요양지원(06010108),요양지원,6010108,5,요양보호사,2024-02-01~2024-05-19(1회차),"70일,총320시간",60,안양고용센터,근로자직업능력개발훈련,"주야혼합/주말,주중혼합"
1649,반려견 스타일리스트 3급 자격증 취득과정모집마감,애완동물미용(24020106),애완동물미용,24020106,3,애견미용사,2024-01-19~2024-07-02(1회차),"110일,총440시간",29,수원고용센터,실업자계좌제,주간/주중
1650,한식조리기능사 자격취득+밑반찬 요리모집마감,한식조리(13010101),한식조리,13010101,10,한식조리기능사,2024-01-19~2024-04-05(1회차),"53일,총159시간",53,대구서부고용센터,실업자계좌제,주간/주중
1651,[이용사] 남성커트과정 (기초컷&트렌드컷&바버컷)모집중,이용(12010105),이용,12010105,10,-,2024-02-05~2024-03-06(1회차),"20일,총80시간",45,성남고용센터,실업자계좌제,주간/주중
1652,전산회계1급+전산세무2급 자격증 취득모집중,세무(02030202),세무,2030202,3,"전산세무2급,전산회계1급",2024-02-05~2024-04-05(1회차),"42일,총132시간",-,성남고용센터,실업자계좌제,주간/주중
1653,패션의류(여성복)모집중,제직의류생산(18020201),제직의류생산,18020201,8,-,2024-05-01~2024-07-31(1회차),"25일,총75시간",-,대구고용센터,근로자직업능력개발훈련,-
1654,원목가구 제작기초 정식과정모집중,가구제작(22020106),가구제작,22020106,16,-,2024-03-11~2024-06-11(1회차),"38일,총114시간",-,부산고용,근로자직업능력개발훈련,야간/주중
1655,화훼장식 기능사 자격증 취득과정(실기대비반)모집마감,단위화훼장식(24010401),단위화훼장식,24010401,3,화훼장식기능사,2024-01-08~2024-03-25(1회차),"20일,총60시간",36,대구서부고용센터,근로자직업능력개발훈련,야간/주중
1656,간호조무사 자격증 취득과정모집중,감염관리(06020403),감염관리,6020403,5,간호조무사,2024-02-19~2025-03-06(1회차),"231일,총1520시간",27,서울동부고용센터,실업자계좌제,"주야혼합/주말,주중혼합"
1657,[건축설계] 전산응용건축제도 기능사 실기모집중,건축설계(14030101),건축설계,14030101,1,전산응용건축제도기능사,2024-02-05~2024-03-06(1회차),"20일,총80시간",-,서울강남고용센터,실업자계좌제,주간/주중
1658,소형지게차운전A모집마감,지게차운전(14070401),지게차운전,14070401,1,3톤미만지게차운전면허,2024-01-08~2024-01-09(1회차),"2일,총16시간",40,경기남부지사,사업주지원금훈련,-
1659,일반기계기사 자격증 취득  필기모집마감,구조해석설계(15010203),구조해석설계,15010203,12,일반기계기사,2024-01-06~2024-02-24(1회차),"10일,총80시간",26,서울관악고용센터,근로자직업능력개발훈련,주간/주말
1660,제과기능사자격증취득(실기)모집중,제과(21020101),제과,21020101,10,제과기능사,2024-01-30~2024-04-09(1회차),"21일,총64시간",35,안양고용센터,실업자계좌제,야간/주중
1661,(건축목공) 목조카페 인테리어시공 (목공/필름/도장/도면) (A)모집마감,건축목공시공(14030201),건축목공시공,14030201,1,-,2024-01-08~2024-06-04(1회차),"100일,총700시간",53,부산고용,국가기간전략산업직종훈련,주간/주중
1662,(기계설계제작)솔리드웍스 및 카티아활용 기계설계CAD/CAM (A반)모집중,기계요소설계(15010201),기계요소설계,15010201,12,-,2024-02-27~2024-07-23(1회차),"100일,총800시간",28,인천고용센터,국가기간전략산업직종훈련,주간/주중
1663,프렌치스타일 꽃바구니 센터피스모집중,단위화훼장식(24010401),단위화훼장식,24010401,3,-,2024-02-05~2024-03-19(1회차),"12일,총48시간",-,안양고용센터,실업자계좌제,주간/주중
1664,"굴착기,지게차운전(이론 및 실기) 야간반모집중",굴착기운전(14070106),굴착기운전,14070106,1,"지게차운전기능사,굴착기운전기능사",2024-02-20~2024-04-02(1회차),"30일,총90시간",-,순천고용센터,근로자직업능력개발훈련,야간/주중
1665,"헤어미용향상 (디자인펌, 염색, 커트, 드라이)모집중",헤어미용(12010101),헤어미용,12010101,10,-,2024-02-14~2024-03-29(1회차),"32일,총219시간",-,익산고용센터,실업자계좌제,주간/주중
1666,요양보호사 자격취득과정모집중,요양지원(06010108),요양지원,6010108,5,요양보호사,2024-02-01~2024-04-26(1회차),"58일,총320시간",64,순천고용센터,실업자계좌제,주간/주중
1667,"항공사&여행사 (대한항공 토파스항공권예약,발권) 자격증 취득 과정(NCS기반)모집중",항공여객운송서비스(09040205),항공여객운송서비스,9040205,12,"토파스발권,토파스예약",2024-02-17~2024-03-17(1회차),"10일,총80시간",-,서울고용,근로자직업능력개발훈련,주간/주말
1668,"오토캐드(AutoCAD)입문 기초제도(2D, 3D)모집중",환경디자인(08020103),환경디자인,8020103,2,-,2024-02-05~2024-04-15(1회차),"19일,총57시간",-,전주고용센터,근로자직업능력개발훈련,야간/주중
1669,10일만에 뚝딱! 사무왕 되기 (엑셀&파워포인트)모집마감,사무행정(02020302),사무행정,2020302,3,-,2024-01-29~2024-02-07(1회차),"8일,총30시간",49,부산북부고용센터,근로자직업능력개발훈련,주간/주중
1670,"전산회계1급, 전산세무2급, FAT1급, TAT2급 자격증 취득과정모집중",세무(02030202),세무,2030202,3,"TAT2급,전산세무2급,전산회계1급",2024-02-02~2024-04-04(1회차),"42일,총210시간",-,서울강남고용센터,실업자계좌제,주간/주중
1671,한식조리 자격증반모집중,한식조리(13010101),한식조리,13010101,10,한식조리기능사,2024-02-13~2024-04-04(1회차),"37일,총110시간",48,순천고용센터,실업자계좌제,주간/주중
1672,(출판) 디지털퍼블리싱 실무자양성과정A모집중,편집디자인(22010102),편집디자인,22010102,16,-,2024-03-28~2024-11-22(1회차),"150일,총600시간",-,부산고용,국가기간전략산업직종훈련,주간/주중
1673,(전기내선공사) 전기내선공사 관리자 양성과정1모집중,내선공사(19010701),내선공사,19010701,13,-,2024-02-22~2024-08-23(1회차),"125일,총870시간",-,대전고용센터,국가기간전략산업직종훈련,주간/주중
1674,(전기시스템제어) 전기기능사 취득 및 자동제어모집중,자동제어시스템운영(19010804),자동제어시스템운영,19010804,13,전기기능사,2024-02-07~2024-07-05(1회차),"100일,총700시간",34,대구서부고용센터,국가기간전략산업직종훈련,주간/주중
1675,공동주택회계관리자양성과정모집중,회계·감사(02030201),회계·감사,2030201,3,-,2024-02-01~2024-04-30(1회차),"60일,총360시간",-,대구고용센터,실업자계좌제,주간/주중
1676,라떼아트모집마감,커피관리(13010203),커피관리,13010203,10,-,2024-01-03~2024-01-29(1회차),"8일,총28시간",45,고양고용센터,근로자직업능력개발훈련,야간/주중
1677,살롱헤어커트모집중,헤어미용(12010101),헤어미용,12010101,10,-,2024-01-25~2024-02-29(1회차),"24일,총120시간",47,성남고용센터,실업자계좌제,주간/주중
1678,호텔리어 실무 향상 과정(초급)모집중,연회관리(12030204),연회관리,12030204,10,-,2024-01-23~2024-03-22(1회차),"40일,총160시간",22,부산고용,근로자직업능력개발훈련,야간/주중
1679,"(정보시스템구축(개발,운영))ICT 정보보안(네트워크,서버)엔지니어 양성-A모집중",보안엔지니어링(20010206),보안엔지니어링,20010206,18,-,2024-06-07~2024-12-10(1회차),"127일,총868시간",-,부산동부고용,국가기간전략산업직종훈련,주간/주중
1680,Auto cad 활용한 2D도면작성모집중,기계요소설계(15010201),기계요소설계,15010201,12,-,2024-03-11~2024-04-23(1회차),"25일,총75시간",-,포항고용센터,근로자직업능력개발훈련,주간/주중
1681,라떼아트 <상급>모집중,커피관리(13010203),커피관리,13010203,10,-,2024-01-05~2024-02-23(1회차),"7일,총28시간",-,고양고용센터,근로자직업능력개발훈련,"수업시간:(금)9:20~13:20수강절차1.HRD-net온라인수강신청2.수강절차안내문자3.온라인사전평가및자부담결제4.등록완료-라떼아트교과목-1.푸어링,핸들링아트2.에칭아트문의사항전화번호:031)904-1078,010-8306-1077"
1682,전기기능사 실기 정규반모집중,내선공사(19010701),내선공사,19010701,13,전기기능사,2024-01-27~2024-03-17(1회차),"14일,총84시간",53,서울남부고용센터,근로자직업능력개발훈련,주간/주말
1683,요양보호사취득(사회복지사소지자소지자과정)모집중,요양지원(06010108),요양지원,6010108,5,요양보호사,2024-02-17~2024-03-09(1회차),"7일,총50시간",45,인천고용센터,근로자직업능력개발훈련,주간/주말
1684,요양보호사자격취득과정(표준)모집중,요양지원(06010108),요양지원,6010108,5,요양보호사,2024-03-04~2024-06-30(1회차),"70일,총320시간",-,김해고용,근로자직업능력개발훈련,"야간/주말,주중혼합"
1685,헤어미용 디자인 실무모집마감,헤어미용(12010101),헤어미용,12010101,10,-,2024-01-02~2024-02-28(1회차),"40일,총160시간",18,수원고용센터,실업자계좌제,주간/주중
1686,요양보호사 자격 취득과정 (신규자)모집중,요양지원(06010108),요양지원,6010108,5,요양보호사,2024-01-31~2024-03-29(1회차),"40일,총320시간",-,서울서부고용센터,실업자계좌제,주간/주중
1687,카페메뉴제조모집마감,커피관리(13010203),커피관리,13010203,10,-,2024-01-06~2024-01-27(1회차),"4일,총28시간",-,고양고용센터,근로자직업능력개발훈련,"수업시간:(토)9:20~16:50수강절차1.HRD-net온라인수강신청2.수강절차문자발송3.온라인사전평가및자부담결제4.수강등록완료-카페메뉴제조교과목-1.에스프레소커피음료제조(아메리카노,카페라떼등)2.다양한에스프레소커피음료제조(카라멜마끼아또,바닐라라떼등)3.다양한카페음료제조(레몬에이드,자몽에이드,과일요거트스무디등)문의사항안내드립니다.전화번호:031)904-1078,010-8306-1077"
1688,요양보호사 자격증 취득 과정모집중,요양지원(06010108),요양지원,6010108,5,요양보호사,2024-01-25~2024-03-26(1회차),"41일,총320시간",60,대전고용센터,실업자계좌제,주간/주중
1689,요양보호사 국가자격증 취득훈련과정(신규자반)모집중,요양지원(06010108),요양지원,6010108,5,요양보호사,2024-03-04~2024-04-26(1회차),"40일,총320시간",-,인천북부고용센터,실업자계좌제,주간/주중
1690,"(출판) 디지털 편집디자인(포토샵,일러스트,인디자인) 실무 양성모집중",편집디자인(22010102),편집디자인,22010102,16,-,2024-01-24~2024-06-05(1회차),"90일,총720시간",-,대구고용센터,국가기간전략산업직종훈련,주간/주중
1691,바리스타2급 자격증 취득과정모집마감,커피관리(13010203),커피관리,13010203,10,커피바리스타2급,2024-01-16~2024-03-08(1회차),"14일,총42시간",48,원주고용센터,근로자직업능력개발훈련,주간/주중
1692,미용사(피부) 국가자격증 취득과정모집중,피부미용(12010102),피부미용,12010102,10,미용사(피부),2024-01-08~2024-03-08(1회차),"43일,총300시간",-,수원고용센터,실업자계좌제,-
1693,SCA 바리스타 Intermediate 자격증 취득 과정모집마감,커피관리(13010203),커피관리,13010203,10,scae바리스타skillsintermediate,2024-01-08~2024-02-13(1회차),"25일,총75시간",41,의정부고용센터,실업자계좌제,주간/주중
1694,(건축목공) 목조주택 건축목공 양성과정모집중,건축목공시공(14030201),건축목공시공,14030201,1,-,2024-02-13~2024-07-11(1회차),"101일,총700시간",-,군산고용,국가기간전략산업직종훈련,주간/주중
1695,제과디저트모집마감,제과(21020101),제과,21020101,10,-,2024-01-18~2024-02-15(1회차),"12일,총39시간",40,안양고용센터,근로자직업능력개발훈련,주간/주중
1696,"지금이 기회! 재경관리사(재무회계,원가관리회계,세무회계)자격증 취득과정모집중",세무(02030202),세무,2030202,3,재경관리사,2024-01-30~2024-03-25(1회차),"30일,총90시간",27,서울강남고용센터,근로자직업능력개발훈련,야간/주중
1697,제빵기능사 자격증 실기과정모집중,제빵(21020102),제빵,21020102,10,제빵기능사,2024-02-13~2024-04-25(1회차),"22일,총66시간",-,의정부고용센터,근로자직업능력개발훈련,야간/주중
1698,(2024)바리스타2급자격취득과정(이론+실기)모집중,커피관리(13010203),커피관리,13010203,10,바리스타2급,2024-02-15~2024-04-12(1회차),"15일,총60시간",-,전주고용센터,실업자계좌제,주간/주중
1699,"케이크디자이너양성&자격증취득과정(레터링,페인팅,빈티지,입체,플라워,슈가)모집중",제과(21020101),제과,21020101,10,케이크데코레이션지도자1급,2024-01-30~2024-03-19(1회차),"33일,총132시간",34,서울동부고용센터,실업자계좌제,주간/주중
1700,사)한국커피협회 바리스타 2급 자격증 취득 과정모집중,커피관리(13010203),커피관리,13010203,10,바리스타2급,2024-01-29~2024-03-06(1회차),"14일,총42시간",51,대구서부고용센터,근로자직업능력개발훈련,주간/주중
1701,"사무행정 향상(한글,엑셀,파워포인트)모집중",사무행정(02020302),사무행정,2020302,3,-,2024-01-29~2024-04-24(1회차),"24일,총72시간",47,서울북부고용센터,근로자직업능력개발훈련,야간/주중
1702,[디지털디자인]Figma활용 UI/UX반응형웹 디자인&퍼블리셔(프론트엔드)A모집중,디지털디자인(08020104),디지털디자인,8020104,2,-,2024-01-31~2024-06-20(1회차),"95일,총760시간",-,서울고용,국가기간전략산업직종훈련,주간/주중
1703,간호조무사 자격증 취득과정 (주간B)모집중,감염관리(06020403),감염관리,6020403,5,간호조무사,2024-04-15~2025-03-05(1회차),"214일,총1520시간",-,수원고용센터,실업자계좌제,주간/주중
1704,"ITQ자격증 취득(한글,엑셀,파워포인트)모집마감",사무행정(02020302),사무행정,2020302,3,"정보기술자격(ITQ)-한글파워포인트A,정보기술자격(ITQ)-한글엑셀A",2024-01-22~2024-03-22(1회차),"24일,총72시간",49,서울북부고용센터,근로자직업능력개발훈련,주간/주중
1705,컴퓨터활용능력1급(필기+실기)과정모집중,사무행정(02020302),사무행정,2020302,3,-,2024-02-05~2024-03-25(1회차),"33일,총130시간",-,구미고용센터,근로자직업능력개발훈련,주간/주중
1706,한식조리기능사 자격증 취득(이론+실기)모집마감,한식조리(13010101),한식조리,13010101,10,한식조리기능사,2024-01-16~2024-03-21(1회차),"20일,총60시간",48,의정부고용센터,근로자직업능력개발훈련,야간/주중
1707,지게차운전기능사 자격증취득과정(필기+실기)모집마감,지게차운전(14070401),지게차운전,14070401,1,지게차운전기능사,2024-01-03~2024-02-07(1회차),"26일,총180시간",49,성남고용센터,실업자계좌제,주간/주중
1708,[주말속성]엑셀 실무(엑셀기초+ITQ엑셀 자격증 취득)모집중,사무행정(02020302),사무행정,2020302,3,정보기술자격(ITQ)-한글엑셀A,2024-02-17~2024-04-27(1회차),"10일,총40시간",-,서울북부고용센터,근로자직업능력개발훈련,주간/주말
1709,컴퓨터활용능력2급 실기 취득(엑셀 활용)모집중,사무행정(02020302),사무행정,2020302,3,컴퓨터활용능력2급,2024-01-26~2024-02-08(1회차),"10일,총39시간",31,인천고용센터,근로자직업능력개발훈련,주간/주중
1710,간호조무사 자격 취득과정모집중,감염관리(06020403),감염관리,6020403,5,간호조무사,2024-03-11~2025-03-06(1회차),"210일,총1520시간",-,고양고용센터,실업자계좌제,주간/주중
1711,지게차운전기능사 자격증취득과정(실기)모집마감,지게차운전(14070401),지게차운전,14070401,1,지게차운전기능사,2024-01-18~2024-02-14(1회차),"18일,총126시간",43,성남고용센터,실업자계좌제,주간/주중
1712,간호조무사 취득과정_주간모집중,감염관리(06020403),감염관리,6020403,5,간호조무사,2024-01-15~2024-09-06(1회차),"191일,총1520시간",35,대구고용센터,실업자계좌제,"주간/주말,주중혼합"
1713,굴착기운전기능사 자격증취득과정(실기)모집마감,굴착기운전(14070106),굴착기운전,14070106,1,굴착기운전기능사,2024-01-15~2024-02-08(1회차),"19일,총133시간",49,성남고용센터,실업자계좌제,주간/주중
1714,"ITQ 마스터(한글,파워포인트,엑셀) 과정모집중",사무행정(02020302),사무행정,2020302,3,정보기술자격(ITQ),2024-02-21~2024-04-18(1회차),"33일,총99시간",-,대구고용센터,근로자직업능력개발훈련,야간/주중
1715,모션그래픽&영상편집 전문가(영상제작자 과정)모집중,광고콘텐츠제작(08030204),광고콘텐츠제작,8030204,2,-,2024-08-09~2024-11-08(1회차),"60일,총300시간",-,서울북부고용센터,실업자계좌제,주간/주중
1716,공동주택조경관리실무향상과정모집중,조경관리(14050103),조경관리,14050103,1,-,2024-04-08~2024-05-29(1회차),"20일,총70시간",-,대구고용센터,근로자직업능력개발훈련,야간/주중
1717,왕기초 컴퓨터활용(윈도우+인터넷+한글+엑셀)모집중,사무행정(02020302),사무행정,2020302,3,-,2024-01-30~2024-02-22(1회차),"16일,총39시간",-,서울남부고용센터,근로자직업능력개발훈련,주간/주중
1718,양식조리기능사 자격증 취득과 브런치 실무모집중,양식조리(13010102),양식조리,13010102,10,양식조리기능사,2024-04-03~2024-05-17(1회차),"30일,총120시간",-,의정부고용센터,근로자직업능력개발훈련,주간/주중
1719,"사무행정고급실무(워드,파워포인트,엑셀)모집중",사무행정(02020302),사무행정,2020302,3,-,2024-01-22~2024-03-21(1회차),"40일,총80시간",46,전주고용센터,근로자직업능력개발훈련,주간/주중
1720,컴퓨터기초활용&유튜브&영상편집모집중,사무행정(02020302),사무행정,2020302,3,-,2024-02-16~2024-05-10(1회차),"12일,총36시간",58,서울북부고용센터,근로자직업능력개발훈련,야간/주중
1721,마케팅종합관리모집마감,마케팅전략기획(02010301),마케팅전략기획,2010301,3,-,2024-01-13~2024-03-23(1회차),"10일,총80시간",48,서초고용센터,근로자직업능력개발훈련,주간/주말
1722,변압기 필수기술 향상모집마감,송변전배전설비운영(19010302),송변전배전설비운영,19010302,13,-,2024-01-15~2024-01-19(1회차),"5일,총34시간",48,경기북부지사,사업주지원금훈련,-
1723,엑셀 활용(엑셀기초+ITQ엑셀 자격증 취득)모집중,사무행정(02020302),사무행정,2020302,3,정보기술자격(ITQ)-한글엑셀A,2024-02-15~2024-04-09(1회차),"16일,총48시간",-,서울북부고용센터,근로자직업능력개발훈련,"주간/주말,주중혼합"
1724,솔리드웍스를 활용한 3D 형상 CAD 모델링모집중,기계요소설계(15010201),기계요소설계,15010201,12,-,2024-03-04~2024-03-21(1회차),"12일,총36시간",-,인천고용센터,근로자직업능력개발훈련,야간/주중
1725,라떼아트와 카페음료+노오븐 디저트 만들기모집중,커피관리(13010203),커피관리,13010203,10,-,2024-01-29~2024-03-11(1회차),"10일,총40시간",-,대구서부고용센터,근로자직업능력개발훈련,주간/주중
1726,"컴퓨터 ITQ 자격증 취득(한글,엑셀,파워포인트)모집마감",사무행정(02020302),사무행정,2020302,3,"정보기술자격(ITQ)-한글엑셀A,정보기술자격(ITQ)-아래한글A",2024-01-16~2024-02-16(1회차),"20일,총100시간",45,인천북부고용센터,실업자계좌제,주간/주중
1727,한식조리기능사 자격증 취득과 단체급식실무모집중,한식조리(13010101),한식조리,13010101,10,한식조리기능사,2024-02-13~2024-04-01(1회차),"34일,총136시간",58,의정부고용센터,근로자직업능력개발훈련,주간/주중
1728,"진짜 쉽게 가르쳐줄게! ERP정보관리사(회계2급,인사2급) 자격증 취득과정모집중",회계·감사(02030201),회계·감사,2030201,3,"인사2급,ERP관리사회계2급",2024-01-29~2024-02-16(1회차),"12일,총48시간",-,서울강남고용센터,근로자직업능력개발훈련,야간/주중
1729,간호조무사 자격증 취득과정(야간반)모집중,감염관리(06020403),감염관리,6020403,5,간호조무사,2024-03-18~2025-03-05(1회차),"283일,총1520시간",39,수원고용센터,실업자계좌제,"야간/주말,주중혼합"
1730,전기기능사 취득과정(필기)모집중,내선공사(19010701),내선공사,19010701,13,전기기능사,2024-04-15~2024-06-13(1회차),"25일,총75시간",-,포항고용센터,근로자직업능력개발훈련,야간/주중
1731,공조냉동기계기능사(실기)모집중,냉동공조설치(15050202),냉동공조설치,15050202,12,공조냉동기계기능사,2024-02-07~2024-03-14(1회차),"20일,총60시간",-,고양고용센터,근로자직업능력개발훈련,야간/주중
1732,공조냉동기계산업기사 작업형(실기)모집중,냉동공조설치(15050202),냉동공조설치,15050202,12,공조냉동기계산업기사,2024-03-31~2024-05-05(1회차),"9일,총60시간",-,대구고용센터,근로자직업능력개발훈련,주야혼합/주말
1733,무선설비(산업)기사 실기취득 향상과정모집중,구내통신구축(20020102),구내통신구축,20020102,18,"무선설비산업기사,무선설비기사",2024-03-16~2024-04-14(1회차),"10일,총48시간",-,서울남부고용센터,근로자직업능력개발훈련,주간/주말
1734,한식조리기능사취득(이론/실기)모집마감,한식조리(13010101),한식조리,13010101,10,한식조리기능사,2024-01-19~2024-03-11(1회차),"20일,총78시간",47,안양고용센터,근로자직업능력개발훈련,주간/주중
1735,"네일미용실무(네일아트, 네일드릴)모집중",네일미용(12010104),네일미용,12010104,10,-,2024-04-08~2024-05-14(1회차),"25일,총150시간",-,청주고용센터,실업자계좌제,주간/주중
1736,"플라워샵 상품(꽃다발, 꽃바구니) 제작모집중",단위화훼장식(24010401),단위화훼장식,24010401,3,-,2024-02-19~2024-04-22(1회차),"10일,총40시간",-,인천북부고용센터,근로자직업능력개발훈련,주간/주중
1737,에너지관리기능사 작업형(실기)모집중,보일러설치·정비(15050204),보일러설치·정비,15050204,12,에너지관리기능사,2024-02-04~2024-03-24(1회차),"9일,총60시간",45,대구고용센터,근로자직업능력개발훈련,주야혼합/주말
1738,한글속기사자격증대비반(기초)모집중,사무행정(02020302),사무행정,2020302,3,"한글속기2급,한글속기1급",2024-02-14~2024-04-11(1회차),"40일,총120시간",-,서울서부고용센터,근로자직업능력개발훈련,주간/주중
1739,에너지관리산업기사 작업형(실기)모집중,보일러설치·정비(15050204),보일러설치·정비,15050204,12,에너지관리산업기사,2024-03-30~2024-05-04(1회차),"9일,총60시간",-,대구고용센터,근로자직업능력개발훈련,주야혼합/주말
1740,에너지관리(배관)기능장 작업형 실기모집마감,보일러설치·정비(15050204),보일러설치·정비,15050204,12,"배관기능장,에너지관리기능장",2024-01-27~2024-03-23(1회차),"10일,총80시간",44,대구고용센터,근로자직업능력개발훈련,주간/주말
1741,바리스타SCA자격증취득과정(이론+실기) 초급&중급모집중,커피관리(13010203),커피관리,13010203,10,"scae바리스타skillsintermediate,SCABaristaSkillsFoundation",2024-02-26~2024-04-29(1회차),"18일,총72시간",-,안양고용센터,근로자직업능력개발훈련,주간/주중
1742,포토샵 기초 + GTQ1급 자격취득 C모집중,디지털비지니스지원서비스(20020318),디지털비지니스지원서비스,20020318,18,그래픽기술자격(GTQ)-1급,2024-02-15~2024-03-19(1회차),"12일,총36시간",23,고양고용센터,근로자직업능력개발훈련,야간/주중
1743,SCA 바리스타 Foundation 자격증(초급) 과정_A모집중,커피관리(13010203),커피관리,13010203,10,CSPBaristaskills/Foundation,2024-02-13~2024-03-12(1회차),"20일,총60시간",-,의정부고용센터,실업자계좌제,주간/주중
1744,한식건축목공모집중,건축목공시공(14030201),건축목공시공,14030201,1,-,2024-04-25~2024-07-12(1회차),"24일,총168시간",-,울산고용센터,실업자계좌제,주간/주중
1745,(가구설계제작)가구설계제작 취업자양성 스마트과정모집중,가구제작(22020106),가구제작,22020106,16,-,2024-05-28~2024-11-15(1회차),"114일,총910시간",-,포항고용센터,국가기간전략산업직종훈련,주간/주중
1746,[UIUX] 반응형웹디자인&웹퍼블리셔(프론트엔드) 양성 과정모집중,디지털디자인(08020104),디지털디자인,8020104,2,-,2024-04-09~2024-07-04(1회차),"58일,총290시간",-,서울북부고용센터,실업자계좌제,주간/주중
